maskedcardno,cardno,blp_cardno
JJ<(XJJJ'XJV0(JV,1168011140192819,1168 0111 4019 2819
JJ<(XJJJ'XX'(C(V,1168011140048789,1168 0111 4004 8789
JJ<(XJJJ'XXPCVXP,1168011140057905,1168 0111 4005 7905
JJ<(XJJJ$'$X(0$J,1168011134308231,1168 0111 3430 8231
JJ<(XJJX<$('0X$<,1168011063842036,1168 0110 6384 2036
JJ<(XJJJJVC$'V(V,1168011119734989,1168 0111 1973 4989
JJ<(XJJJ0X'CP(<J,1168011120475861,1168 0111 2047 5861
JJ<(XJJJ$'JV($0C,1168011134198327,1168 0111 3419 8327
JJ<(XJJJ$'JV(J<X,1168011134198160,1168 0111 3419 8160
JJ<(XJJJ$'JVV(P$,1168011134199853,1168 0111 3419 9853
JJ<(XJJX(<PX<CJC,1168011086506717,1168 0110 8650 6717
JJ<(XJJJX0J((<0$,1168011102188623,1168 0111 0218 8623
JJ<(XJJX<<CPJ0CP,1168011066751275,1168 0110 6675 1275
JJ<(XJJX<JVX'00<,1168011061904226,1168 0110 6190 4226
JJ<(XJJX$P'<J<$',1168011035461634,1168 0110 3546 1634
JJ<(XJJJ$JJ<XP<V,1168011131160569,1168 0111 3116 0569
JJ<(XJJJXP'X<JP',1168011105406154,1168 0111 0540 6154
JJ<(XJJJJ<VX<PV(,1168011116906598,1168 0111 1690 6598
JJ<(XJJJXJ$J(VC$,1168011101318973,1168 0111 0131 8973
JJ<(XJJJ$JXPJ$0J,1168011131051321,1168 0111 3105 1321
JJ<(XJJX(C<CV<<J,1168011087679661,1168 0110 8767 9661
JJ<(XJJX('00V'(<,1168011084229486,1168 0110 8422 9486
JJ<(XJJJX((<JV$',1168011108861934,1168 0111 0886 1934
JJ<(XJJX<'J$XPPP,1168011064130555,1168 0110 6413 0555
JJ<(XJJXVV'<XXC<,1168011099460076,1168 0110 9946 0076
JJ<(XJJJ0(J<0J'V,1168011128162149,1168 0111 2816 2149
JJ<(XJJX<''P0'0J,1168011064452421,1168 0110 6445 2421
JJ<(XJJXVV$XJ'JJ,1168011099301411,1168 0110 9930 1411
JJ<(XJJJ00''0C0V,1168011122442729,1168 0111 2244 2729
JJ<(XJJJJ<P<X0$V,1168011116560239,1168 0111 1656 0239
JJ<(XJJJX0(J(CVV,1168011102818799,1168 0111 0281 8799
JJ<(XJJX<J'$$C<0,1168011061433762,1168 0110 6143 3762
JJ<(XJJJ00$0(XJV,1168011122328019,1168 0111 2232 8019
JJ<(XJJJ00(JC(P',1168011122817854,1168 0111 2281 7854
JJ<(XJJX<V(C<$0C,1168011069876327,1168 0110 6987 6327
JJ<(XJJJ00<V'C$$,1168011122694733,1168 0111 2269 4733
JJ<(XJJJ00<V00C$,1168011122692273,1168 0111 2269 2273
JJ<(XJJJ000<((V0,1168011122268892,1168 0111 2226 8892
JJ<(XJJJ000(VJVP,1168011122289195,1168 0111 2228 9195
JJ<(XJJJ000CPPXV,1168011122275509,1168 0111 2227 5509
JJ<(XJJJ000XCJJ',1168011122207114,1168 0111 2220 7114
JJ<(XJJX$$<J((J$,1168011033618813,1168 0110 3361 8813
JJ<(XJJX00CJ0<XJ,1168011022712601,1168 0110 2271 2601
JJ<(XJJJJJX'0P$X,1168011111042530,1168 0111 1104 2530
JJ<(XJJJ00X'(0V',1168011122048294,1168 0111 2204 8294
JJ<(XJJJ00X<J0CJ,1168011122061271,1168 0111 2206 1271
JJ<(XJJJJVJP<XPX,1168011119156050,1168 0111 1915 6050
JJ<(XJJJ0P'P'$P(,1168011125454358,1168 0111 2545 4358
JJ<(XJJJX0'V'VX<,1168011102494906,1168 0111 0249 4906
JJ<(XJJJ0P'PCJVP,1168011125457195,1168 0111 2545 7195
JJ<(XJJJ0P'PV<<0,1168011125459662,1168 0111 2545 9662
JJ<(XJJJ0P<C'($J,1168011125674831,1168 0111 2567 4831
