cardno,maskedcardno
1168 0110 6787 0439,JJ<(XJJX<C(CX'$V
1168 0111 3415 5368,JJ<(XJJJ$'JPP$<(
1168 0111 2861 7829,JJ<(XJJJ0(<JC(0V
1168 0111 1475 5187,JJ<(XJJJJ'CPPJ(C
1168 0111 1475 7779,JJ<(XJJJJ'CPCCCV
1168 0110 4455 6424,JJ<(XJJX''PP<'0'
1168 0110 5379 0948,JJ<(XJJXP$CVXV'(
1168 0110 1466 0818,JJ<(XJJXJ'<<X(J(
1168 0111 4030 9249,JJ<(XJJJ'X$XV0'V
1168 0110 3361 0406,JJ<(XJJX$$<JX'X<
1168 0111 1476 4866,JJ<(XJJJJ'C<'(<<
1168 0110 4729 8586,JJ<(XJJX'C0V(P(<
1168 0110 6785 5539,JJ<(XJJX<C(PPP$V
1168 0111 3403 3672,JJ<(XJJJ$'X$$<C0
1168 0110 5451 3893,JJ<(XJJXP'PJ$(V$
1168 0110 6567 9543,JJ<(XJJX<P<CVP'$
1168 0110 7471 4588,JJ<(XJJXC'CJ'P((
1168 0110 4233 3982,JJ<(XJJX'0$$$V(0
1168 0110 7878 4538,JJ<(XJJXC(C('P$(
1168 0111 3412 9769,JJ<(XJJJ$'J0VC<V
1168 0110 5130 4148,JJ<(XJJXPJ$X'J'(
1168 0111 1630 6534,JJ<(XJJJJ<$X<P$'
1168 0111 1476 1896,JJ<(XJJJJ'C<J(V<
1168 0110 7194 1358,JJ<(XJJXCJV'J$P(
1168 0111 3413 2433,JJ<(XJJJ$'J$0'$$
1168 0111 3418 2388,JJ<(XJJJ$'J(0$((
1168 0110 8454 9487,JJ<(XJJX('P'V'(C
1168 0110 8017 5493,JJ<(XJJX(XJCP'V$
1168 0111 3416 2380,JJ<(XJJJ$'J<0$(X
1168 0110 5475 1378,JJ<(XJJXP'CPJ$C(
1168 0111 0140 2496,JJ<(XJJJXJ'X0'V<
1168 0110 7801 1288,JJ<(XJJXC(XJJ0((
1168 0110 9539 8791,JJ<(XJJXVP$V(CVJ
1168 0111 1472 7335,JJ<(XJJJJ'C0C$$P
1168 0110 3188 5901,JJ<(XJJX$J((PVXJ
1168 0110 6786 0844,JJ<(XJJX<C(<X(''
1168 0110 8901 4446,JJ<(XJJX(VXJ'''<
1168 0110 9291 9904,JJ<(XJJXV0VJVVX'
1168 0110 4032 4884,JJ<(XJJX'X$0'(('
1168 0110 3162 7758,JJ<(XJJX$J<0CCP(
1168 0110 7852 4348,JJ<(XJJXC(P0'$'(
1168 0110 3407 4180,JJ<(XJJX$'XC'J(X
1168 0110 3580 1029,JJ<(XJJX$P(XJX0V
1168 0110 7358 5815,JJ<(XJJXC$P(P(JP
1168 0110 2413 5553,JJ<(XJJX0'J$PPP$
1168 0110 6786 1040,JJ<(XJJX<C(<JX'X
1168 0110 3338 3012,JJ<(XJJX$$$($XJ0
1168 0110 2803 9009,JJ<(XJJX0(X$VXXV
1168 0110 7750 7153,JJ<(XJJXCCPXCJP$
1168 0110 9277 2162,JJ<(XJJXV0CC0J<0
1168 0110 7354 8821,JJ<(XJJXC$P'((0J
1168 0110 3411 6007,JJ<(XJJX$'JJ<XXC
1168 0110 3383 8205,JJ<(XJJX$$($(0XP
1168 0111 3416 2745,JJ<(XJJJ$'J<0C'P
1168 0111 0847 6055,JJ<(XJJJX('C<XPP
1168 0111 1473 5932,JJ<(XJJJJ'C$PV$0
1168 0111 3412 9835,JJ<(XJJJ$'J0V($P
1168 0110 5436 3737,JJ<(XJJXP'$<$C$C
1168 0111 1476 1177,JJ<(XJJJJ'C<JJCC
1168 0110 8147 6320,JJ<(XJJX(J'C<$0X
1168 0111 1475 8264,JJ<(XJJJJ'CP(0<'
1168 0110 4234 0060,JJ<(XJJX'0$'XX<X
1168 0110 5101 3467,JJ<(XJJXPJXJ$'<C
1168 0111 1476 3447,JJ<(XJJJJ'C<$''C
1168 0111 1473 6070,JJ<(XJJJJ'C$<XCX
1168 0111 3415 3918,JJ<(XJJJ$'JP$VJ(
1168 0110 8113 1529,JJ<(XJJX(JJ$JP0V
1168 0110 3430 0858,JJ<(XJJX$'$XX(P(
1168 0110 1032 6570,JJ<(XJJXJX$0<PCX
1168 0110 2520 3541,JJ<(XJJX0P0X$P'J
1168 0110 4009 7464,JJ<(XJJX'XXVC'<'
1168 0110 4986 1068,JJ<(XJJX'V(<JX<(
1168 0111 3415 2662,JJ<(XJJJ$'JP0<<0
1168 0110 2805 0105,JJ<(XJJX0(XPXJXP
1168 0110 9271 3984,JJ<(XJJXV0CJ$V('
1168 0111 1476 0534,JJ<(XJJJJ'C<XP$'
1168 0111 1473 5411,JJ<(XJJJJ'C$P'JJ
1168 0110 4774 1767,JJ<(XJJX'CC'JC<C
1168 0110 1844 8269,JJ<(XJJXJ(''(0<V
1168 0111 1474 6178,JJ<(XJJJJ'C'<JC(
1168 0110 9387 9347,JJ<(XJJXV$(CV$'C
1168 0110 8788 7777,JJ<(XJJX(C((CCCC
1168 0110 8332 2845,JJ<(XJJX($$00('P
1168 0110 6785 9606,JJ<(XJJX<C(PV<X<
1168 0110 0838 6032,JJ<(XJJXX($(<X$0
1168 0110 5229 1674,JJ<(XJJXP00VJ<C'
1168 0111 3413 2292,JJ<(XJJJ$'J$00V0
1168 0110 9202 8144,JJ<(XJJXV0X0(J''
1168 0110 9268 3989,JJ<(XJJXV0<($V(V
1168 0111 3415 4759,JJ<(XJJJ$'JP'CPV
1168 0110 4619 7045,JJ<(XJJX'<JVCX'P
1168 0111 1473 8217,JJ<(XJJJJ'C$(0JC
1168 0110 6787 4308,JJ<(XJJX<C(C'$X(
1168 0111 3161 9143,JJ<(XJJJ$J<JVJ'$
1168 0110 8335 6694,JJ<(XJJX($$P<<V'
1168 0111 1476 4486,JJ<(XJJJJ'C<''(<
1168 0111 1474 7457,JJ<(XJJJJ'C'C'PC
1168 0111 1476 8057,JJ<(XJJJJ'C<(XPC
1168 0110 1665 7358,JJ<(XJJXJ<<PC$P(
1168 0110 6785 5885,JJ<(XJJX<C(PP((P
1168 0110 5453 8247,JJ<(XJJXP'P$(0'C
1168 0110 8309 4022,JJ<(XJJX($XV'X00
1168 0110 6596 9050,JJ<(XJJX<PV<VXPX
1168 0110 6785 5323,JJ<(XJJX<C(PP$0$
1168 0110 6436 6480,JJ<(XJJX<'$<<'(X
1168 0111 1472 7178,JJ<(XJJJJ'C0CJC(
